Year;Country;Arrivals from foreign countries(german);Departures to foreign countries(german);Arrivals from foreign countries;Departures to foreign countries
2018;Lebanon;707;634;5858;2672
2018;Pakistan;378;341;5928;1522
2018;Philippines;621;587;3320;1533
2018;Korea, Republic of;273;225;7931;5970
2018;United Arab Emirates;1376;1048;3642;3233
2018;Tajikistan;33;16;966;822
2018;Saudi Arabia;302;218;1636;1393
2018;Singapore;751;665;1778;1371
2018;Syrian;85;46;30415;1601
2018;Thailand;1581;1869;5510;4141
2018;Uzbekistan;77;22;841;364
2018;China;2626;2157;27919;19605
2018;Australia;2873;3169;5922;5413
2018;New Zealand;1010;1296;1734;1914
2019;Albania;93;58;14849;6809
2019;Bosnia and Herzegovina;127;133;26842;10541
2019;Andorra;13;7;24;18
2019;Belgium;1793;2166;5745;5376
2019;Bulgaria;326;563;83218;63321
2019;Denmark;768;1563;3584;4378
2019;Estonia;60;105;920;804
2019;Finland;241;377;2119;2352
2019;France;5016;5682;21225;20614
2019;Croatia;299;433;42556;27706
2019;Slovenia;62;114;4026;2907
2019;Greece;742;923;27955;21540
2019;Ireland;701;957;3346;2872
2019;Iceland;75;92;335;254
2019;Italy;1999;2452;62708;45136
2019;Latvia;108;211;7132;6009
2019;Montenegro;43;41;2559;1271
2019;Lithuania;89;113;11065;9305
2019;Luxembourg;546;729;4006;3146
2019;North Macedonia;78;66;20460;10822
2019;Malta;234;200;528;353
2019;Netherlands;2693;3918;13345;14114
2019;Norway;756;1073;2032;2111
2019;Kosovo;159;148;19442;5574
2019;Austria;6631;11904;19007;23410
2019;Poland;2946;5188;130689;130440
2019;Portugal;1085;1546;8651;9197
2019;Romania;675;965;230096;189932
2019;Slovakia;93;154;11840;10558
2019;Sweden;972;1882;4345;4979
2019;Switzerland;10523;16340;16743;23456
2019;Russian Federation;4903;2019;21259;11233
2019;Spain;5437;6479;28227;24813
2019;Turkey;5620;5765;51610;30506
2019;Czechia;649;856;11349;9502
2019;Hungary;683;1377;34965;37359
2019;Ukraine;963;357;15496;8361
2019;United Kingdom;6385;6766;22526;18487
2019;Belarus;262;161;2534;1222
2019;Serbia;289;212;28903;18349
2019;Cyprus;163;378;780;832
2019;Algeria;188;126;2936;2595
2019;Angola;33;13;639;307
2019;Ethiopia;172;126;1949;1112
2019;Cote d'Ivoire;39;36;622;667
2019;Nigeria;158;126;7786;886
2019;Ghana;225;125;3348;2055
2019;Kenya;336;275;1515;769
2019;Congo, Republic of the;17;8;169;141
2019;Congo, The Democratic Republic of the;38;25;383;256
2019;Libya;38;43;2765;2249
2019;Morocco;507;354;7069;4210
2019;Niger;17;17;172;168
2019;Cameroon;136;95;3743;1491
2019;South Africa;1281;712;2914;1346
2019;Rwanda;49;18;297;114
2019;Namibia;334;201;507;267
2019;Senegal;57;66;755;646
2019;Somalia;25;12;1935;119
2019;Tanzania;131;80;548;279
2019;Tunisia;425;310;5233;2898
2019;Uganda;116;79;594;222
2019;Egypt;606;450;8094;2919
2019;Central African Republic;17;18;52;63
2019;Argentina;544;323;3603;1798
2019;Bolivia, Plurinational State;269;169;677;382
2019;Brazil;1702;1081;13566;8046
2019;Chile;696;420;2680;1488
2019;Costa Rica;212;172;640;386
2019;Honduras;33;16;314;92
2019;Canada;1776;2297;5462;5259
2019;Colombia;598;437;5019;2226
2019;Mexico;1293;785;6312;3873
2019;Nicaragua;66;48;325;121
2019;Paraguay;384;409;653;593
2019;Peru;479;287;1795;820
2019;Uruguay;102;78;382;214
2019;Venezuela, Bolivarian Republic of;298;67;2029;364
2019;United States;9498;9782;29945;26611
2019;Yemen;17;19;950;340
2019;Armenia;38;40;1467;2004
2019;Afghanistan, Republic of;125;76;7581;775
2019;Azerbaijan;58;22;2714;1711
2019;Georgia;110;80;6075;5396
2019;Viet Nam;354;342;7135;2977
2019;Korea, Democratic People's Republic;13;26;151;154
2019;India;683;587;36004;15898
2019;Indonesia;449;419;3382;1922
2019;Iraq;742;662;12238;2876
2019;Iran, Islamic Republic of;369;247;11880;1490
2019;Israel;508;522;2672;1996
2019;Japan;696;823;7670;6921
2019;Kazakhstan;2465;336;4904;1207
2019;Jordan;336;244;3235;1416
2019;Kuwait;77;50;435;682
2019;Kyrgyzstan;182;72;1672;1024
2019;Lebanon;814;581;6448;2263
2019;Pakistan;410;346;5907;1648
2019;Philippines;610;528;4199;1428
2019;Korea, Republic of;249;211;7687;5731
2019;United Arab Emirates;1309;996;3127;1947
2019;Tajikistan;18;14;1121;615
2019;Saudi Arabia;216;205;1538;1262
2019;Singapore;693;642;1817;1461
2019;Syrian;89;55;25222;1255
2019;Thailand;1708;1711;5477;3911
2019;Uzbekistan;64;19;1129;495
2019;China;2592;1992;27514;19674
2019;Australia;2714;3147;5816;5543
2019;New Zealand;990;1108;1761;1609
2020;Albania;60;48;11208;5518
2020;Bosnia and Herzegovina;101;136;17462;8544
2020;Andorra;11;5;20;11
2020;Belgium;1677;1854;4975;4622
2020;Bulgaria;334;587;72734;49977
2020;Denmark;785;1479;3369;3830
2020;Estonia;53;92;874;781
2020;Finland;199;407;1467;1905
2020;France;4673;4741;18270;16351
2020;Croatia;245;411;29326;21293
2020;Slovenia;62;109;3463;2249
2020;Greece;607;858;22513;16819
2020;Ireland;664;711;2653;2102
2020;Iceland;65;95;268;240
2020;Italy;1830;2030;45008;33622
2020;Latvia;99;140;5872;4543
2020;Montenegro;32;25;1967;1087
2020;Lithuania;76;89;8147;7555
2020;Luxembourg;631;673;4804;2882
2020;North Macedonia;58;43;12577;6889
2020;Malta;202;176;535;307
2020;Netherlands;2706;3411;12347;12201
2020;Norway;694;923;1669;1827
2020;Kosovo;163;76;13417;3910
2020;Austria;6334;10743;18720;21687
2020;Poland;2276;3934;103496;98213
2020;Portugal;986;1461;7299;7176
2020;Romania;628;826;185924;149100
2020;Slovakia;108;165;8642;8089
2020;Sweden;972;1804;3779;4339
2020;Switzerland;9726;14638;15454;20897
2020;Russian Federation;3194;1475;13063;7707
2020;Spain;5206;4631;25484;17401
2020;Turkey;4462;4622;35720;26396
2020;Czechia;596;718;9056;7403
2020;Hungary;611;1131;27624;28838
2020;Ukraine;677;240;11435;6906
2020;United Kingdom;6068;5109;21158;13886
2020;Belarus;198;96;1910;819
2020;Serbia;183;168;21972;14533
2020;Cyprus;194;437;842;818
2020;Algeria;156;45;3036;2003
2020;Angola;23;17;328;248
2020;Ethiopia;176;86;1049;853
2020;Cote d'Ivoire;27;17;501;496
2020;Nigeria;155;80;2465;420
2020;Ghana;170;106;2582;1538
2020;Kenya;294;182;1135;568
2020;Congo, The Democratic Republic of the;27;13;354;228
2020;Libya;25;36;1915;1897
2020;Morocco;424;238;5555;3042
2020;Niger;15;18;127;114
2020;Cameroon;78;83;1586;1194
2020;South Africa;1088;364;2176;853
2020;Rwanda;27;34;227;86
2020;Namibia;303;111;413;169
2020;Senegal;75;43;647;475
2020;Somalia;12;12;1434;50
2020;Tanzania;129;69;365;208
2020;Tunisia;328;248;4324;2383
2020;Uganda;88;67;399;188
2020;Egypt;579;407;4134;2907
2020;Central African Republic;20;12;61;25
2020;Argentina;460;159;2214;1293
2020;Bolivia, Plurinational State;250;126;450;272
2020;Brazil;1295;790;8754;6316
2020;Chile;589;220;1780;1028
2020;Costa Rica;169;132;383;328
2020;Honduras;26;9;204;56
2020;Canada;1517;1449;3902;3858
2020;Colombia;486;278;2565;1624
2020;Mexico;1100;527;3639;2740
2020;Nicaragua;42;17;146;59
2020;Paraguay;270;352;422;504
2020;Peru;389;158;1148;566
2020;Uruguay;96;68;313;186
2020;Venezuela, Bolivarian Republic of;124;44;926;272
2020;United States;9073;5917;21332;18725
2020;Armenia;32;26;876;952
2020;Afghanistan, Republic of;111;55;9221;537
2020;Azerbaijan;43;23;1537;1093
2020;Georgia;80;81;4064;4303
2020;Viet Nam;364;195;6310;1956
2020;Korea, Democratic People's Republic;11;22;87;164
2020;India;628;274;17840;11311
2020;Indonesia;385;222;2244;1335
2020;Iraq;576;425;8553;1471
2020;Iran, Islamic Republic of;272;170;6604;903
2020;Israel;405;296;2057;1542
2020;Japan;600;464;3578;6272
2020;Kazakhstan;1867;157;3373;877
2020;Jordan;240;109;1899;1082
2020;Kuwait;65;13;247;195
2020;Kyrgyzstan;104;38;691;446
2020;Lebanon;1057;330;4265;1710
2020;Pakistan;335;199;3832;1086
2020;Philippines;542;259;3517;916
2020;Korea, Republic of;206;217;3937;5730
2020;United Arab Emirates;1267;743;2553;1257
2020;Tajikistan;27;15;819;413
2020;Saudi Arabia;200;130;814;941
2020;Singapore;689;394;1384;793
2020;Syrian;78;43;18809;613
2020;Thailand;1317;786;4147;2398
2020;Uzbekistan;37;11;625;343
2020;China;2417;987;13208;16610
2020;Australia;2019;1599;3757;3526
2020;New Zealand;793;592;1257;1075
2021;Albania;55;59;13747;5301
2021;Bosnia and Herzegovina;104;197;18885;8287
2021;Andorra;7;19;11;38
2021;Belgium;1746;1925;5395;4752
2021;Bulgaria;296;961;71523;53932
2021;Denmark;720;2132;3274;4720
2021;Estonia;52;135;764;767
2021;Finland;208;474;1543;1824
2021;France;4292;5415;18500;18325
2021;Croatia;250;759;24971;20809
2021;Slovenia;59;151;3225;2222
2021;Greece;552;1129;23070;17432
2021;Ireland;693;855;3155;2591
2021;Iceland;56;92;283;264
2021;Italy;1661;2688;42262;35002
2021;Latvia;111;124;5393;4596
2021;Montenegro;44;63;1978;1003
2021;Lithuania;72;123;6811;7050
2021;Luxembourg;585;618;3739;2881
2021;North Macedonia;61;63;17503;6694
2021;Malta;141;219;468;367
2021;Netherlands;2699;3602;12579;12206
2021;Norway;573;1107;1746;2031
2021;Kosovo;117;155;19731;3851
2021;Austria;6415;11383;17170;22788
2021;Poland;1915;4466;96015;92228
2021;Portugal;953;2070;7858;8218
2021;Romania;545;1234;191149;155895
2021;Slovakia;85;160;9524;7275
2021;Sweden;1067;2616;4335;5352
2021;Switzerland;9447;16996;14980;23747
2021;Russian Federation;4848;2283;17085;9179
2021;Spain;4270;6361;28926;21522
2021;Turkey;5132;5694;49757;30822
2021;Czechia;502;717;8976;6848
2021;Hungary;554;1486;27181;26416
2021;Ukraine;808;350;12649;6377
2021;United Kingdom;4841;4778;13959;15650
2021;Belarus;159;178;2588;889
2021;Serbia;164;256;24439;14677
2021;Cyprus;214;880;826;1289
2021;Algeria;152;126;4075;2634
2021;Angola;29;24;323;215
2021;Ethiopia;175;92;1698;1065
2021;Cote d'Ivoire;28;15;639;393
2021;Nigeria;172;132;2750;654
2021;Ghana;167;127;3038;1722
2021;Kenya;209;266;2096;628
2021;Congo, Republic of the;4;4;116;107
2021;Congo, The Democratic Republic of the;32;37;368;247
2021;Libya;25;88;1458;1716
2021;Morocco;367;342;8342;3313
2021;Niger;21;15;225;104
2021;Cameroon;82;91;1720;949
2021;South Africa;950;553;2123;976
2021;Rwanda;39;40;474;119
2021;Namibia;229;184;409;250
2021;Senegal;50;50;533;507
2021;Somalia;15;31;3021;97
2021;Tanzania;98;187;368;341
2021;Tunisia;368;234;6132;2320
2021;Uganda;114;123;651;240
2021;Egypt;473;446;6600;2233
2021;Central African Republic;11;13;35;37
2021;Argentina;565;254;3161;1292
2021;Bolivia, Plurinational State;228;266;596;394
2021;Brazil;1090;923;8302;5113
2021;Chile;540;264;1757;848
2021;Costa Rica;144;418;513;565
2021;Honduras;38;8;395;105
2021;Canada;1242;1579;3452;3651
2021;Colombia;409;309;3886;1463
2021;Mexico;961;1068;4646;2436
2021;Nicaragua;49;43;196;93
2021;Paraguay;305;1304;544;1435
2021;Peru;384;205;1440;584
2021;Uruguay;68;106;259;222
2021;Venezuela, Bolivarian Republic of;176;72;1487;346
2021;United States;7459;8400;21426;19870
2021;Yemen;5;11;1121;218
2021;Armenia;42;30;1282;1205
2021;Afghanistan, Republic of;168;59;31906;471
2021;Azerbaijan;42;29;2056;1475
2021;Georgia;78;212;6909;4841
2021;Viet Nam;254;135;6352;1753
2021;Korea, Democratic People's Republic;14;15;89;107
2021;India;360;407;30448;9224
2021;Indonesia;240;361;2481;1468
2021;Iraq;628;502;16707;1461
2021;Iran, Islamic Republic of;254;187;10653;875
2021;Israel;439;451;2204;1714
2021;Japan;502;341;4625;4409
2021;Kazakhstan;2867;299;4614;939
2021;Jordan;216;226;3076;1096
2021;Kuwait;30;20;414;233
2021;Kyrgyzstan;197;80;1482;563
2021;Lebanon;792;361;5946;1596
2021;Pakistan;317;281;6820;1275
2021;Philippines;429;290;5105;1589
