Year;Land;Male;Female;Total
2018;Berlin;1792801;1852025;3644826
2018;Brandenburg;1239460;1272457;2511917
2018;Bremen;338035;344951;682986
2018;Hamburg;902048;939131;1841179
2018;Hessen;3093044;3172765;6265809
2018;Mecklenburg-Vorpommern;793639;816036;1609675
2018;Niedersachsen;3943243;4039205;7982448
2018;Nordrhein-Westfalen;8798631;9134020;17932651
2018;Rheinland-Pfalz;2017576;2067268;4084844
2018;Saarland;486159;504350;990509
2018;Sachsen;2009619;2068318;4077937
2018;Sachsen-Anhalt;1086679;1121642;2208321
2018;Schleswig-Holstein;1419457;1477255;2896712
2018;Thuringen;1060814;1082331;2143145
2019;Baden-Wurttemberg;5516440;5583954;11100394
2019;Bayern;6507691;6617046;13124737
2019;Berlin;1804273;1865218;3669491
2019;Brandenburg;1243931;1277962;2521893
2019;Bremen;337001;344201;681202
2019;Hamburg;903974;943279;1847253
2019;Hessen;3105260;3182820;6288080
2019;Mecklenburg-Vorpommern;792612;815526;1608138
2019;Niedersachsen;3947571;4046037;7993608
2019;Nordrhein-Westfalen;8805974;9141247;17947221
2019;Rheinland-Pfalz;2023004;2070899;4093903
2019;Saarland;484419;502468;986887
2019;Sachsen;2006722;2065249;4071971
2019;Sachsen-Anhalt;1079862;1114920;2194782
2019;Schleswig-Holstein;1422883;1480890;2903773
2019;Thuringen;1055996;1077382;2133378
2020;Baden-Wurttemberg;5516636;5586407;11103043
2020;Bayern;6512595;6627588;13140183
2020;Berlin;1802038;1862050;3664088
2020;Brandenburg;1248050;1283021;2531071
2020;Bremen;336390;343740;680130
2020;Hamburg;906933;945545;1852478
2020;Hessen;3108408;3184746;6293154
2020;Mecklenburg-Vorpommern;793537;817237;1610774
2020;Niedersachsen;3951456;4051965;8003421
2020;Nordrhein-Westfalen;8794888;9130682;17925570
2020;Rheinland-Pfalz;2026105;2072286;4098391
2020;Saarland;483001;500990;983991
2020;Sachsen;1999026;2057915;4056941
2020;Sachsen-Anhalt;1072595;1108089;2180684
2020;Schleswig-Holstein;1425649;1485226;2910875
2020;Thuringen;1049212;1071025;2120237
2021;Baden-Wurttemberg;5526110;5598532;11124642
2021;Bayern;6532222;6644767;13176989
2021;Berlin;1807826;1869646;3677472
2021;Brandenburg;1250325;1287543;2537868
2021;Bremen;334319;342144;676463
2021;Hamburg;907682;946253;1853935
2021;Hessen;3108589;3186428;6295017
2021;Mecklenburg-Vorpommern;793443;817717;1611160
2021;Niedersachsen;3962947;4064084;8027031
2021;Nordrhein-Westfalen;8795533;9129058;17924591
2021;Rheinland-Pfalz;2030323;2076162;4106485
2021;Saarland;482439;499909;982348
2021;Sachsen;1992884;2050118;4043002
2021;Sachsen-Anhalt;1067143;1102110;2169253
2021;Schleswig-Holstein;1431064;1490941;2922005
2021;Thuringen;1043936;1064927;2108863
2022;Baden-Wurttemberg;5595424;5684833;11280257
2022;Bayern;6620203;6749190;13369393
2022;Berlin;1843196;1912055;3755251
2022;Brandenburg;1265151;1307984;2573135
2022;Bremen;338233;346631;684864
2022;Hamburg;925616;966506;1892122
2022;Hessen;3151158;3240202;6391360
2022;Mecklenburg-Vorpommern;799695;828683;1628378
2022;Niedersachsen;4009822;4130420;8140242
2022;Nordrhein-Westfalen;8890200;9248916;18139116
2022;Rheinland-Pfalz;2054254;2104896;4159150
2022;Saarland;487101;505565;992666
2022;Sachsen;2010537;2075615;4086152
2022;Sachsen-Anhalt;1073711;1112932;2186643
2022;Schleswig-Holstein;1443269;1510001;2953270
2022;Thuringen;1051482;1075364;2126846
